"week_ending_date","state","avg_adm_all_covid_confirmed","pct_chg_avg_adm_all_covid_confirmed_per_100k","total_adm_all_covid_confirmed_past_7days","total_adm_all_covid_confirmed_past_7days_per_100k","sum_adm_all_covid_confirmed","avg_total_patients_hospitalized_covid_confirmed","avg_percent_inpatient_beds_occupied_covid_confirmed","abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed","avg_percent_staff_icu_beds_covid","abs_chg_avg_percent_staff_icu_beds_covid"
"2023-09-23","Region 5","389.14","5.91","2,724.00","5.18","1,032,508.00","2,050.29","1.87","0.09","1.44","0.05"
"2023-09-30","Region 5","375.86","-3.41","2,631.00","5.01","1,035,139.00","2,106.14","1.93","0.06","1.56","0.12"
"2023-10-07","Region 5","360.00","-4.22","2,520.00","4.80","1,037,659.00","1,943.71","1.76","-0.16","1.56","0.00"
"2023-10-14","Region 5","325.86","-9.48","2,281.00","4.34","1,039,940.00","1,770.71","1.61","-0.15","1.26","-0.30"
"2023-10-21","Region 5","368.57","13.11","2,580.00","4.91","1,042,520.00","1,944.57","1.77","0.16","1.37","0.11"
"2023-10-28","Region 5","408.86","10.93","2,862.00","5.45","1,045,382.00","2,067.14","1.88","0.11","1.51","0.14"
"2023-11-04","Region 5","366.00","-10.48","2,562.00","4.88","1,047,944.00","2,035.29","1.85","-0.03","1.54","0.03"
"2023-11-11","Region 5","435.57","19.01","3,049.00","5.80","1,050,993.00","2,283.71","2.08","0.23","1.66","0.13"
"2023-11-18","Region 5","522.71","20.01","3,659.00","6.96","1,054,652.00","2,602.71","2.36","0.29","1.81","0.15"
"2023-11-25","Region 5","592.71","13.39","4,149.00","7.90","1,058,801.00","3,092.71","2.82","0.45","2.13","0.32"
"2023-12-02","Region 5","757.14","27.74","5,300.00","10.09","1,064,101.00","3,798.57","3.43","0.62","2.74","0.62"
"2023-12-09","Region 5","742.57","-1.92","5,198.00","9.89","1,069,299.00","4,019.57","3.63","0.19","2.86","0.11"
"2023-12-16","Region 5","770.00","3.69","5,390.00","10.26","1,074,689.00","4,172.57","3.76","0.13","3.17","0.31"
"2023-12-23","Region 5","865.00","12.34","6,055.00","11.52","1,080,744.00","4,415.71","3.97","0.22","3.36","0.18"
"2023-12-30","Region 5","1,009.57","16.71","7,067.00","13.45","1,087,811.00","4,986.29","4.53","0.56","3.71","0.36"
"2024-01-06","Region 5","896.57","-11.19","6,276.00","11.94","1,094,087.00","5,357.14","4.81","0.28","4.04","0.33"
"2024-01-13","Region 5","744.86","-16.92","5,214.00","9.92","1,099,301.00","4,651.00","4.16","-0.65","3.73","-0.32"
"2024-01-20","Region 5","564.29","-24.24","3,950.00","7.52","1,103,251.00","3,804.29","3.41","-0.75","3.05","-0.68"
